trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.15674309044130266, 'e': 0.11004644011281442}",20,7,8.830058105273498,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.15363936930056563, 'e': 0.10467941189686476}",20,10,9.945455273857263,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.15059710595610107, 'e': 0.09957413673572789}",25,14,21.46251654679939,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.1476150834620071, 'e': 0.09471784878228182}",20,10,18.99907109787557,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.1446921089695253, 'e': 0.0900984047871156}",25,11,26.807908751396226,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.1418270132498852, 'e': 0.08570425373408033}",20,13,13.707804075190548,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.13901865022659707, 'e': 0.08152440795673242}",20,3,30.022737244845164,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.1362658965170063, 'e': 0.07754841566344402}",30,20,17.601728205269954,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.13356765098292517, 'e': 0.07376633480247999}",30,17,20.97809740600103,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.130922834290163, 'e': 0.07016870820169005}",25,5,23.31022708097335,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.12833038847677794, 'e': 0.06674653992065213}",20,2,31.137118797628013,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.12578927652987823, 'e': 0.06349127275613588}",25,2,40.31858876961224,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.12329848197080322, 'e': 0.060394766844637}",20,0,32.614686131487154,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.12085700844851822, 'e': 0.057449279308478846}",20,12,13.463627011406224,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.11846387934106088, 'e': 0.05464744489458512}",20,12,8.028258503404446,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.11611813736487941, 'e': 0.05198225755751067}",25,11,24.51281848877645,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.11381884419190637, 'e': 0.049447052940678776}",25,2,44.04775012312895,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,12,28.45558139982289,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,14,12.68793250269126,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,8,20.359313462411286,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,15,11.0307480765732,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,13,20.56155566144179,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,18,19.104870071079517,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,15,18.76759065596217,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,14,10.80228032152849,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,9,27.473307516928763,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,14,12.888395481715673,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",20,10,20.15391564931833,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",20,5,26.26618147171486,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",20,13,13.015918145495728,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",25,5,37.69627198312995,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",20,8,19.108401178772265,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",30,22,13.520080323797993,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",20,5,23.182059794111066,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",25,8,31.841278318147634,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",20,13,15.312200082386656,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",20,12,18.3097068362881,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
